feature,importance
club_mean_value,0.7873229002449109
age,0.06579652791136043
nb_on_pitch,0.05009627308837237
goal_contrib,0.023432553396707117
country_mean_value,0.02006893941737479
assists,0.018916068089371397
days_missed,0.01156572523587142
minutes_played,0.007071058418532273
nb_in_group,0.006386629585200131
height,0.004020717555531946
clean_sheets,0.0023532057262231373
goals,0.0021245659408313687
position_defender,0.00029066158004074905
position_midfield,0.0002530728994072648
position_attack,0.00022039970660434782
position_goalkeeper,8.070120366027552e-05
